"filename", "language", "JavaScript", "JSON", "CSS", "HTML", "XML", "comment", "blank", "total"
"c:\Users\viliu\Desktop\recipdo-app (newman)\navigation\AuthNavigator.js", "JavaScript", 20, 0, 0, 0, 0, 0, 4, 24
"c:\Users\viliu\Desktop\recipdo-app (newman)\navigation\MainAppNavigator.js", "JavaScript", 49, 0, 0, 0, 0, 0, 7, 56
"c:\Users\viliu\Desktop\recipdo-app (newman)\navigation\MainStackNavigator.js", "JavaScript", 21, 0, 0, 0, 0, 0, 4, 25
"c:\Users\viliu\Desktop\recipdo-app (newman)\navigation\PantryStackNavigator.js", "JavaScript", 21, 0, 0, 0, 0, 0, 4, 25
"c:\Users\viliu\Desktop\recipdo-app (newman)\navigation\SavedRecipesStackNavigator.js", "JavaScript", 17, 0, 0, 0, 0, 0, 5, 22
"c:\Users\viliu\Desktop\recipdo-app (newman)\navigation\SearchStackNavigator.js", "JavaScript", 17, 0, 0, 0, 0, 0, 5, 22
"c:\Users\viliu\Desktop\recipdo-app (newman)\newman\SpoonacularAPI_tests.json", "JSON", 0, 383, 0, 0, 0, 0, 0, 383
"c:\Users\viliu\Desktop\recipdo-app (newman)\package-lock.json", "JSON", 0, 12430, 0, 0, 0, 0, 1, 12431
"c:\Users\viliu\Desktop\recipdo-app (newman)\package.json", "JSON", 0, 59, 0, 0, 0, 0, 1, 60
"c:\Users\viliu\Desktop\recipdo-app (newman)\src\Dashboard.js", "JavaScript", 10, 0, 0, 0, 0, 0, 3, 13
"c:\Users\viliu\Desktop\recipdo-app (newman)\src\Login.js", "JavaScript", 72, 0, 0, 0, 0, 0, 6, 78
"c:\Users\viliu\Desktop\recipdo-app (newman)\src\Register.js", "JavaScript", 10, 0, 0, 0, 0, 0, 3, 13
"Total", "-", 6818, 15099, 204, 1907, 203, 85, 754, 25070
